,,,,,,,,,,,,,,,
Nr.,Operatorët  Ajrorë ,Janar ,Shkurt ,Mars ,Prill,Maj ,Qershor ,Korrik,Gusht,Shtator,Tetor,Nentor,Dhjetor,TOTAL,Total në % 
1,Air Serbia,"11,706","13,250","4,294","6,398","4,626","4,292","5,520","5,538","6,422","6,087","1,554","2,169"," 71,856 ",23.67%
2,Lufthansa,"4,229","3,487","10,162","6,515","4,182","3,571","3,815","3,934","6,417","5,821","4,394","4,889"," 61,416 ",20.23%
3,Swiss Air,"1,219","1,545",938,"5,392","9,000","6,634","9,382","6,191","6,016","7,256","3,266","3,105"," 59,944 ",19.75%
4,Austrian Airlines,"3,302","3,405","3,598","3,362","3,240","2,607","2,697","2,486","2,110","2,205","1,437","1,332"," 31,781 ",10.47%
5,Lot Polish,"2,038","1,347","1,034","4,855","3,723","3,807","13,436","4,048","2,553","2,811","3,288","5,230"," 48,170 ",15.87%
6,Aegean Airlines,"2,697",283,,498,495,481,442,399,607,693,"4,760","6,086"," 17,441 ",5.75%
7,Air Albania,252,467,309,413,425,373,351,409,697,555,243,45," 4,539 ",1.50%
8,British Airways,348,347,313,192,101,205,99,0,184,143,"2,237","1,673"," 5,842 ",1.92%
9,FlyDubai,99,125,56,55,79,38,42,120,51,135,151,310," 1,261 ",0.42%
10,Pegasus Airlines,0,0,299,0,0,0,0,0,0,169,0,0, 468 ,0.15%
11,Air Baltic,0,0,0,0,1,22,0,75,106,0,0,0, 204 ,0.07%
12,Sky Express,17,2,2,2,10,0,4,49,164,251,18,0, 519 ,0.17%
13,Sunexpress,0,0,0,0,0,1,14,0,0,0,0,0, 15 ,0.00%
14,Croatia Airlines,0,0,0,0,0,0,0,123,0,0,0,0, 123 ,0.04%
15,Shuma," 25,907 "," 24,258 "," 21,005 "," 27,682 ","25,882","22,031","35,802","23,372","25,327","26,126","21,348","24,839"," 303,579 ",100.00%
16,CHARTER,0,0,0,0,0,0,0,0,0,0,0,0, -   ,0
,TOTAL," 25,907 "," 24,258 "," 21,005 "," 27,682 ","25,882","22,031","35,802","23,372","25,327","26,126","21,348","24,839"," 303,579 ",100%
