muaji,aplikime_per_sherbime,dokumente_me_vule_elektronike_te_gjeneruara,perdorues_te_rinj,transaksikone_nga_platforma_e_nderveprimit
Janar,1911989,680000,27512,19968632
Shkurt,1352098,573639,20730,19968632
Mars,1612794,643803,13392,22435622
Prill,1602226,637107,25621,19791614
Maj,1673058,892040,20567,22630945
Qershor,1576930,907048,19532,26321598
Korrik,1526174,778597,20006,28124457
Gusht,1339757,747802,21608,21728425
Shtator,1726147,1069116,20110,30568030
Tetor,1594532,944354,19121,36421160
Nëntor,1101223,627910,17217,26090418
Dhjetor,1113042,693602,14873,26449859
