drfCode,drfName,healthCenterCode,healthCenterName,healthCenterDescription,healthCenterEmail,healthCenterPhone
4,ELBASAN,0820741,Elbasan - QSH. Nr. 4 Elbasan,Elbasan => QSH. Nr. 4 Elbasan,N/A,N/A
4,ELBASAN,1020293,Gramsh - QSH Gramsh,Gramsh => QSH Gramsh,N/A,N/A
4,ELBASAN,1030298,Kodovjat - Tunje,Gramsh => Kodovjat,N/A,N/A
4,ELBASAN,1030299,Gramsh - Skenderbegas,Gramsh => Skenderbegas,N/A,N/A
4,ELBASAN,1030302,Kushove - Sult,Gramsh => Kushove,N/A,N/A
4,ELBASAN,1030304,Qsh Kukur- Lenie,Gramsh => Kukur,N/A,N/A
4,ELBASAN,1030305,Gramsh - Porocan,Gramsh => Porocan,N/A,N/A
4,ELBASAN,1030308,Gramsh - Pishaj,Gramsh => Pishaj,N/A,N/A
6,GJIROKASTER,1120483,Gjirokaster - Q.SH Gjirokaster,Gjirokaster => Q.SH Gjirokaster,N/A,N/A
6,GJIROKASTER,1120485,QSH Libohove,Gjirokaster => QSH Bashki Libohove,N/A,N/A
6,GJIROKASTER,1130488,Gjirokaster - Lunxheri - Antigone,Gjirokaster => Lunxheri,N/A,N/A
6,GJIROKASTER,1130490,Gjirokaster - Lazarat,Gjirokaster => Lazarat,N/A,N/A
6,GJIROKASTER,1130492,QSH Picar + Cepo + Odrie,Gjirokaster => Picar,N/A,N/A
6,GJIROKASTER,1130493,Gjirokaster - Dropulli i poshtem,Gjirokaster => Dropulli i poshtem,N/A,N/A
6,GJIROKASTER,1130494,Gjirokaster - Dropulli i siperm,Gjirokaster => Dropulli i siperm,N/A,N/A
6,GJIROKASTER,1130495,Gjirokaster - Pogon - Zagori,Gjirokaster => Pogon,N/A,N/A
8,KUKES,1220289,Has - Krume,Has => Krume,N/A,N/A
8,KUKES,1230290,Has - Golaj,Has => Golaj,N/A,N/A
8,KUKES,1230291,Fajza + Gjinaj,Has => Fajza,N/A,N/A
17,KAVAJE,1310114,Kavaje - QSH Kavaje,Kavaje => QSH Kavaje,N/A,N/A
17,KAVAJE,1310115,Kavaje - Rrogozhine,Kavaje => Rrogozhine,N/A,N/A
17,KAVAJE,1340116,Kavaje - Gose,Kavaje => Gose,N/A,N/A
17,KAVAJE,1340119,Kavaje - Lekaj,Kavaje => Lekaj,N/A,N/A
17,KAVAJE,1340122,Kavaje - Luz i Vogel,Kavaje => Luz i Vogel,N/A,N/A
17,KAVAJE,1340125,Kavaje - Kryevidh,Kavaje => Kryevidh,N/A,N/A
17,KAVAJE,1340129,Kavaje - Golem Kavaje,Kavaje => Golem Kavaje,N/A,N/A
17,KAVAJE,1340136,Kavaje - Synej,Kavaje => Synej,N/A,N/A
17,KAVAJE,1340140,Kavaje - Helmes,Kavaje => Helmes,N/A,N/A
17,KAVAJE,1340145,Kavaje - Sinaballaj,Kavaje => Sinaballaj,N/A,N/A
17,KAVAJE,1350720,QSH IEVP Rrogozhine - Durres,QSH IEVP Rrogozhine - Durres,N/A,N/A
17,KAVAJE,1350721,QSH IEVP Kavaje - Durres,QSH IEVP Kavaje - Durres,N/A,N/A
7,KORCE,1410257,Kolonje - Q.SH ERSEKE,Kolonje => Q.SH ERSEKE,N/A,N/A
7,KORCE,1410258,Kolonje - LESKOVIK,Kolonje => LESKOVIK,N/A,N/A
